Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Sensorbar-48HD_Two_Boards\master_board\Project Outputs for Netscale48HD_Sensorbar\Pick Place\Pick Place\Pick Place for Netscale48HD_Sensorbar_Master.txt

========================================================================================================================
File Design Information:

Date:       26/11/19
Time:       07:56
Revision:   877550c1357e0401bec38b2e036d66f424fc56c6
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
C21        10nF                    TopLayer    Ceramic_Capacitor_0402_EIA       8253.271      167.441       270      "10000pF ±10% 50V Keramikkondensatoren X7R 0402 (1005 metrisch) CL05B103KB5NNNC"                                                                         
C9         10nF                    TopLayer    Ceramic_Capacitor_0402_EIA       8895.868      150.000       0        "10000pF ±10% 50V Keramikkondensatoren X7R 0402 (1005 metrisch) CL05B103KB5NNNC"                                                                         
C7         10nF                    TopLayer    Ceramic_Capacitor_0402_EIA       8887.417      326.772       0        "10000pF ±10% 50V Keramikkondensatoren X7R 0402 (1005 metrisch) CL05B103KB5NNNC"                                                                         
C5         10nF                    TopLayer    Ceramic_Capacitor_0402_EIA       8887.417      281.952       0        "10000pF ±10% 50V Keramikkondensatoren X7R 0402 (1005 metrisch) CL05B103KB5NNNC"                                                                         
C3         10nF                    TopLayer    Ceramic_Capacitor_0402_EIA       8954.330      363.564       270      "10000pF ±10% 50V Keramikkondensatoren X7R 0402 (1005 metrisch) CL05B103KB5NNNC"                                                                         
C1         10nF                    TopLayer    Ceramic_Capacitor_0402_EIA       9106.552      34.890        180      "10000pF ±10% 50V Keramikkondensatoren X7R 0402 (1005 metrisch) CL05B103KB5NNNC"                                                                         
C87        2.2uF                   TopLayer    CERAMIC_CAPACITOR_0402_EIA       8485.157      243.701       360      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 2.2uF 6.3volts *Derate Voltage/Temp"                                                                  
J2         DF12(3.5)-20DP-0.5V(86) TopLayer    DF12(4.0)-20DP                   4643.701      501.969       0        "Connector,Board to Board,DF12 Hirose DF12 Series, 0.5mm Pitch 20 Way 2 Row Straight PCB Header, Solder Termination, 0.3A"                               
U8         ATSAM4S16BA-MU          TopLayer    64PS_N                           17877.337     295.967       270      "AT91 ARM Cortex-M4 32-bit Microcontroller, 1MB Flash, 128KB SRAM, USB, 79 User I/Os, 64-Pin QFN, Industrial Grade (-40°C to 105°C), Pb-Free"            
C29        0.1uF                   TopLayer    CERAMIC_CAPACITOR_0402_EIA       16245.294     419.685       180      "SMD/SMT WCAP-CSGP 0.1uF 0402 20% 10V MLCC"                                                                                                              
